"State","D_id","D_ic","C_i","w_i","vulnerable_households","mu_i","theta_i","Optimal_x_id","Optimal_x_ic","Domestic_Pct_Met","Commercial_Pct_Met"
"Delhi",47.75,11.0288888888889,97.4,0.2,150000,1.5,1.89590569727551,19.1,4.62,40,41.89
"Gujarat",108.75,19.3005555555556,68.3,0.317,2200000,22,27.8066168933741,63.47,12.22,58.36,63.31
"Karnataka",159,19.3005555555556,68.2,0.318,8e+05,8,10.111497052136,93.01,12.25,58.5,63.47
"Madhya Pradesh",145.833333333333,13.7861111111111,40.1,0.599,1800000,18,22.7508683673061,113.7,9.65,77.97,70
"Maharashtra",280.944444444444,41.3583333333333,71.9,0.281,1450000,14.5,18.3270884069966,148.99,24.25,53.03,58.63
"Others",943.861111111111,85.4738888888889,58.6,0.414,1.5e+07,150,189.59056972755,642.97,59.83,68.12,70
"Rajasthan",148.472222222222,13.7861111111111,41.5,0.585,1600000,16,20.2229941042721,114.98,9.65,77.44,70
"Tamil Nadu",198.916666666667,22.0577777777778,84.8,0.2,1950000,19.5,24.6467740645816,79.57,9.24,40,41.89
"Uttar Pradesh",392.75,33.0866666666667,32.7,0.673,750000,7.5,9.47952848637753,315.73,23.16,80.39,70
"West Bengal",225.333333333333,16.5433333333333,40.6,0.594,1700000,17,21.4869312357891,175.27,11.58,77.78,70
