"State","D_id","D_ic","C_i","w_i","vulnerable_households","mu_i","sigma_i","theta_i","Optimal_x_id","Optimal_x_ic","Domestic_Pct_Met","Commercial_Pct_Met"
"Delhi",47.75,11.0288888888889,97.4,0.0259999999999999,150000,1.5,0.225,1.87009206606408,1.87,0,3.92,0
"Gujarat",108.75,19.3005555555556,68.3,0.317,2200000,22,3.3,27.4280169689399,72.06,13.51,66.26,70
"Karnataka",159,19.3005555555556,68.2,0.318,8e+05,8,1.2,9.97382435234177,105.53,13.51,66.37,70
"Madhya Pradesh",145.833333333333,13.7861111111111,40.1,0.599,1800000,18,2.7,22.441104792769,119.8,9.65,82.15,70
"Maharashtra",280.944444444444,41.3583333333333,71.9,0.281,1450000,14.5,2.175,18.0775566386194,174.02,27.49,61.94,66.47
"Others",943.861111111111,85.4738888888889,58.6,0.414,1.5e+07,150,22.5,187.009206606408,700.05,59.83,74.17,70
"Rajasthan",148.472222222222,13.7861111111111,41.5,0.585,1600000,16,2.4,19.9476487046835,121.33,9.65,81.72,70
"Tamil Nadu",198.916666666667,22.0577777777778,84.8,0.152,1950000,19.5,2.925,24.3111968588331,58.96,8.39,29.64,38.04
"Uttar Pradesh",392.75,33.0866666666667,32.7,0.673,750000,7.5,1.125,9.35046033032041,330.34,23.16,84.11,70
"West Bengal",225.333333333333,16.5433333333333,40.6,0.594,1700000,17,2.55,21.1943767487263,184.76,11.58,81.99,70
